,1a. open (GBP),1b. open (USD),2a. high (GBP),2b. high (USD),3a. low (GBP),3b. low (USD),4a. close (GBP),4b. close (USD),5. volume,6. market cap (USD)
02/10/2023,22077.74785,27992.58,22541.046,28580,21516.87173,27281.44,21684.92004,27494.51,57071.14241,57071.14241
01/10/2023,21265.37896,26962.57,22135.26774,28065.51,21258.69078,26954.09,22077.73996,27992.57,24602.81468,24602.81468
30/09/2023,21221.51935,26906.96,21369.81861,27094.99,21205.2327,26886.31,21265.37107,26962.56,12804.62307,12804.62307
29/09/2023,21311.77029,27021.39,21488.04474,27244.89,21030.81169,26665.16,21221.51935,26906.96,28478.76219,28478.76219
28/09/2023,20800.3851,26373,21538.19818,27308.48,20776.25088,26342.4,21311.77029,27021.39,44517.83491,44517.83491
27/09/2023,20681.03902,26221.68,21176.595,26850,20594.58172,26112.06,20800.37721,26372.99,34771.57978,34771.57978
26/09/2023,20746.59576,26304.8,20819.6767,26397.46,20575.87376,26088.34,20681.03113,26221.67,18495.35066,18495.35066
25/09/2023,20702.10519,26248.39,20858.07851,26446.15,20498.6758,25990.46,20746.60365,26304.81,26266.2039,26266.2039
24/09/2023,20960.46754,26575.97,21088.6865,26738.54,20602.4845,26122.08,20702.09731,26248.38,15706.65771,15706.65771
23/09/2023,20963.75642,26580.14,21005.29725,26632.81,20907.6483,26509,20960.45965,26575.96,9440.7026,9440.7026
22/09/2023,20954.2447,26568.08,21092.50381,26743.38,20875.9189,26468.77,20963.75642,26580.14,18198.2292,18198.2292
21/09/2023,21393.49539,27125.01,21420.77652,27159.6,20804.09199,26377.7,20954.2447,26568.08,34476.82662,34476.82662
20/09/2023,21460.72418,27210.25,21601.41248,27388.63,21137.16,26800,21393.4875,27125,34207.21867,34207.21867
19/09/2023,21107.58375,26762.5,21676.29166,27483.57,21032.88597,26667.79,21460.73206,27210.26,36190.52187,36190.52187
18/09/2023,20922.23925,26527.5,21617.4783,27409,20803.81595,26377.35,21107.59164,26762.51,43000.43256,43000.43256
17/09/2023,20947.61173,26559.67,20997.75728,26623.25,20820.8913,26399,20922.24714,26527.51,12998.10277,12998.10277
16/09/2023,20979.41211,26599.99,21119.0199,26777,20857.1715,26445,20947.61173,26559.67,13960.93351,13960.93351
15/09/2023,20918.47715,26522.73,21206.5656,26888,20682.8688,26224,20979.42,26600,26227.29369,26227.29369
14/09/2023,20681.2914,26222,21184.86846,26860.49,20606.1835,26126.77,20918.47715,26522.73,38333.1725,38333.1725
13/09/2023,20380.08687,25840.1,20825.79701,26405.22,20320.20088,25764.17,20681.2914,26222,31610.82753,31610.82753
12/09/2023,19845.68741,25162.53,20953.3929,26567,19821.19828,25131.48,20380.08687,25840.1,56434.38537,56434.38537
11/09/2023,20381.26992,25841.6,20427.8742,25900.69,19639.4187,24901,19845.67952,25162.52,41682.32,41682.32
10/09/2023,20428.59192,25901.6,20532.74764,26033.66,20167.50856,25570.57,20381.27781,25841.61,18738.26914,18738.26914
09/09/2023,20435.61135,25910.5,20462.89248,25945.09,20345.80997,25796.64,20428.59981,25901.61,10980.62277,10980.62277
08/09/2023,20707.3185,26255,20857.56585,26445.5,20227.99396,25647.26,20435.61135,25910.5,28999.76471,28999.76471
07/09/2023,20316.87257,25759.95,20855.70452,26443.14,20202.85021,25615.38,20707.3185,26255,27687.49567,27687.49567
06/09/2023,20342.23716,25792.11,20537.748,26040,20011.29864,25372.51,20316.87257,25759.95,27262.52386,27262.52386
05/09/2023,20368.98986,25826.03,20439.54696,25915.49,20161.23839,25562.62,20342.22927,25792.1,21323.39337,21323.39337
04/09/2023,20483.49333,25971.21,20591.39537,26108.02,20215.33533,25631.21,20368.98197,25826.02,21777.59609,21777.59609
03/09/2023,20403.29042,25869.52,20612.6745,26135,20348.46,25800,20483.49333,25971.21,17474.47667,17474.47667
02/09/2023,20352.43505,25805.04,20496.34125,25987.5,20310.97309,25752.47,20403.28254,25869.51,16250.77698,16250.77698
01/09/2023,20459.4853,25940.77,20629.2372,26156,19980.72863,25333.75,20352.44294,25805.05,41032.15056,41032.15056
31/08/2023,21531.50211,27299.99,21758.26914,27587.51,20234.10639,25655.01,20459.49319,25940.78,51032.80401,51032.80401
30/08/2023,21859.87736,27716.34,21901.07116,27768.57,21308.49719,27017.24,21531.50211,27299.99,35448.25848,35448.25848
29/08/2023,20600.844,26120,22196.2658,28142.85,20444.6814,25922,21859.87736,27716.34,74251.99488,74251.99488
28/08/2023,20586.47389,26101.78,20706.52191,26253.99,20399.33115,25864.5,20600.844,26120,22692.62655,22692.62655
27/08/2023,20519.90761,26017.38,20649.9248,26182.23,20479.47096,25966.11,20586.466,26101.77,12099.64216,12099.64216
26/08/2023,20553.522,26060,20605.3948,26125.77,20495.0951,25985.92,20519.89972,26017.37,10022.22322,10022.22322
25/08/2023,20648.20544,26180.05,20753.89124,26314.05,20330.43821,25777.15,20553.52989,26060.01,27753.33772,27753.33772
24/08/2023,20847.47838,26432.71,20961.96607,26577.87,20398.9368,25864,20648.20544,26180.05,30205.22116,30205.22116
23/08/2023,20550.35931,26055.99,21152.35825,26819.27,20358.57113,25812.82,20847.48626,26432.72,44023.69978,44023.69978
22/08/2023,20606.3018,26126.92,20616.16055,26139.42,19954.11,25300,20550.3672,26056,34247.06688,34247.06688
21/08/2023,20656.053,26190,20710.01585,26258.42,20357.9244,25812,20606.3018,26126.92,30267.24233,30267.24233
20/08/2023,20585.07789,26100.01,20742.0213,26299,20483.36714,25971.05,20656.04511,26189.99,19056.91209,19056.91209
19/08/2023,20548.7898,26054,20727.8247,26281,20349.31968,25801.09,20585.07789,26100.01,26160.75343,26160.75343
18/08/2023,20997.88347,26623.41,21162.87162,26832.6,20205.7053,25619,20548.7898,26054,69790.65711,69790.65711
17/08/2023,22659.75324,28730.51,22701.53068,28783.48,19848.4242,25166,20997.88347,26623.41,100271.5403,100271.5403
16/08/2023,23030.04789,29200.01,23077.2437,29259.85,22653.8932,28723.08,22659.75324,28730.51,32996.69854,32996.69854
15/08/2023,23212.1666,29430.92,23266.06636,29499.26,22919.30652,29059.6,23030.04,29200,27503.87691,27503.87691
14/08/2023,23111.9465,29303.85,23420.69888,29695.32,22953.10232,29102.45,23212.17449,29430.93,31443.11532,31443.11532
13/08/2023,23211.58297,29430.18,23246.65646,29474.65,23087.07878,29272.32,23111.93861,29303.84,11101.70947,11101.70947
12/08/2023,23208.30197,29426.02,23251.94075,29481.35,23173.23637,29381.56,23211.57508,29430.17,8971.48068,8971.48068
11/08/2023,23231.75791,29455.76,23317.53692,29564.52,23071.40732,29252.45,23208.30986,29426.03,20637.0443,20637.0443
10/08/2023,23331.31551,29581.99,23454.3606,29738,23124.84174,29320.2,23231.75003,29455.75,23463.45373,23463.45373
09/08/2023,23479.92237,29770.41,23787.192,30160,23169.37963,29376.67,23331.31551,29581.99,38003.88725,38003.88725
08/08/2023,23038.76302,29211.06,23853.4428,30244,22987.80512,29146.45,23479.93025,29770.42,45700.53392,45700.53392
07/08/2023,22942.04474,29088.43,23090.59639,29276.78,22636.50236,28701.03,23038.76302,29211.06,30966.87746,30966.87746
06/08/2023,22929.18893,29072.13,23034.05448,29205.09,22865.89576,28991.88,22942.03685,29088.42,13178.1972,13178.1972
05/08/2023,22962.2118,29114,22992.3638,29152.23,22855.45337,28978.64,22929.18893,29072.13,11645.52018,11645.52018
04/08/2023,23025.03176,29193.65,23135.0002,29333.08,22720.5068,28807.54,22962.20391,29113.99,23551.95217,23551.95217
03/08/2023,23018.9982,29186,23214.06737,29433.33,22847.0616,28968,23025.02387,29193.64,26476.91994,26476.91994
02/08/2023,23429.11431,29705.99,23698.46325,30047.5,22815.11925,28927.5,23019.00609,29186.01,48181.65141,48181.65141
01/08/2023,23055.48346,29232.26,23455.34648,29739.25,22545.54159,28585.7,23429.11431,29705.99,44719.65162,44719.65162
31/07/2023,23093.99568,29281.09,23290.311,29530,22952.58966,29101.8,23055.47558,29232.25,22605.48964,22605.48964
30/07/2023,23150.63223,29352.9,23226.4263,29449,22898.51639,29033.24,23093.99568,29281.09,15706.97441,15706.97441
29/07/2023,23120.06222,29314.14,23193.2378,29406.92,23074.34917,29256.18,23150.63223,29352.9,10851.36844,10851.36844
28/07/2023,23048.00659,29222.78,23299.94891,29542.22,22969.40474,29123.12,23120.06222,29314.14,23993.61627,23993.61627
27/07/2023,23149.88297,29351.95,23319.87936,29567.49,22938.4325,29083.85,23048.00659,29222.78,22476.47626,22476.47626
26/07/2023,23052.84132,29228.91,23416.503,29690,22948.75658,29096.94,23149.89085,29351.96,33931.63366,33931.63366
25/07/2023,23011.50555,29176.5,23168.8512,29376,22909.88156,29047.65,23052.84132,29228.91,21565.7478,21565.7478
24/07/2023,23727.05363,30083.75,23739.53875,30099.58,22763.38053,28861.9,23011.50555,29176.5,39628.99691,39628.99691
23/07/2023,23498.51991,29793.99,23937.045,30350,23448.051,29730,23727.05363,30083.75,18292.78637,18292.78637
22/07/2023,23583.48656,29901.72,23660.2113,29999,23365.31637,29625.1,23498.5278,29794,14660.40467,14660.40467
21/07/2023,23503.26,29800,23709.66279,30061.7,23445.16436,29726.34,23583.48656,29901.72,23881.40865,23881.40865
20/07/2023,23589.39393,29909.21,23990.2507,30417.46,23322.61615,29570.96,23503.26,29800,37540.68193,37540.68193
19/07/2023,23549.90372,29859.14,23810.13528,30189.09,23473.25785,29761.96,23589.39393,29909.21,25657.36137,25657.36137
18/07/2023,23769.84849,30138.01,23850.11449,30239.78,23276.1144,29512,23549.89583,29859.13,30003.8601,30003.8601
